_chiffre	freqfilm	freqlivre
14/07	0.05	0.00
14°	0.05	0.00
140-145	0.05	0.00
140 000	0.11	0.00
140	2.23	0.81
140/30	0.05	0.00
140°	0.05	0.00
1400	0.85	0.00
1400/3 000	0.00	0.07
14000	0.05	0.27
140000	0.11	0.07
1402	0.11	0.00
1404	0.05	0.00
1405	0.05	0.00
1405,9	0.00	0.07
1407	0.00	0.14
141	0.05	0.20
1410	0.05	0.14
14110	0.05	0.00
1412	0.05	0.00
1417	0.00	0.07
1418	0.00	0.07
141ème	0.05	0.00
142	0.21	0.27
1420	0.11	0.00
14205	0.11	0.00
14275	0.05	0.00
1428	0.05	0.00
142m	0.05	0.00
143	0.11	0.20
143.000	0.05	0.00
1430	0.05	0.00
1431	0.05	0.07
1432	0.05	0.00
1436	0.05	0.00
143m	0.05	0.00
144 000	0.00	0.07
144	0.59	0.34
144.48.e	0.00	0.07
144000	0.00	0.14
1441	0.00	0.07
1446	0.05	0.00
1448	0.11	0.00
145	0.48	0.27
1450	0.05	0.00
14500	0.05	0.00
1453	0.00	0.34
146	0.00	0.27
1461,5	0.00	0.07
1463	0.00	0.07
1467	0.00	0.07
1469	0.00	0.07
147	0.48	0.27
1470	0.16	0.07
1477	0.05	0.00
1478	0.05	0.00
147ème	0.11	0.00
148-21	0.05	0.00
148 1	0.05	0.00
148	0.05	0.34
1480	0.00	0.14
14800	0.00	0.07
1482	0.00	0.07
1485	0.00	0.07
1486	0.00	0.07
1487-1488	0.00	0.07
1489	0.05	0.00
149	0.16	0.27
1492	0.16	0.68
149200	0.05	0.00
1493-1543	0.00	0.07
1493	0.05	0.00
1494	0.00	0.07
1495	0.00	0.07
1496	0.05	0.00
1498-1500	0.00	0.07
1499	0.00	0.07
14d	0.05	0.00
14e-7e	0.05	0.00
14e	0.59	0.41
14ème	1.54	0.00
14h	1.49	0.00
14h00	0.05	0.00
15'	0.11	0.00
15-0	0.05	0.00
15-12	0.05	0.00
15-17	0.00	0.07
15-2	0.11	0.00
15-20	0.11	0.00
15-3-1988	0.11	0.00
15-c	0.05	0.00
15 000	2.87	0.14
15 1	0.05	0.00
15 200	0.00	0.14
15 3	0.05	0.00
15 500	0.11	0.00
15	74.36	21.55
15%	0.05	0.00
15%et	0.05	0.00
15,00	0.05	0.07
15,000	0.21	0.00
15,30	0.05	0.00
15,5	0.00	0.07
15,6	0.05	0.00
15,80	0.05	0.00
15,95	0.05	0.00
15. m	0.05	0.00
15..	0.05	0.00
15..12..69	0.00	0.07
15.000	0.64	0.00
15.27	0.00	0.07
15.8	0.00	0.07
15/07	0.05	0.00
15/1	0.05	0.00
15°	0.16	0.00
150-6	0.05	0.00
150 000	0.59	0.27
150	9.84	2.50
150.000	0.27	0.00
150.200	0.05	0.00
150°	0.05	0.00
1500	2.55	0.54
15000	0.85	0.27
150000	0.32	0.20
1500000	0.00	0.14
1500m	0.05	0.00
1501	0.05	0.00
1503	0.00	0.27
1505-1610	0.05	0.00
1507	0.05	0.07
150ème	0.16	0.00
150f	0.05	0.00
150m	0.05	0.00
151	0.00	0.20
1510	0.00	0.07
1511	0.05	0.00
1512	0.00	0.07
1513	0.00	0.07
1515-1516	0.00	0.07
1515	0.00	0.34
1517	0.11	0.00
1519	0.05	0.00
151e	0.00	0.20
152	0.21	0.27
1520	0.05	0.14
15200	0.05	0.00
1521	0.05	0.07
1522	0.16	0.00
1523	0.00	0.14
1524	0.00	0.07
1526	0.11	0.00
1527	0.00	0.81
1528	0.05	0.00
1529	0.00	0.07
153	0.11	0.14
1530	0.05	0.14
1535	0.05	0.00
1536	0.00	0.07
1537	0.05	0.07
1539	0.00	0.14
154	0.32	0.07
1541	0.00	0.07
1542	0.05	0.00
1543	0.00	0.07
1544	0.05	0.00
1545	0.05	0.00
1546	0.05	0.00
1548	0.05	0.07
1549	0.05	0.14
155 000	0.05	0.00
155	0.43	1.22
1550	0.11	0.20
1552	0.00	0.07
1553	0.00	0.07
1554	0.11	0.00
1555	0.11	0.07
1558	0.00	0.07
1559	0.11	0.00
156	0.43	0.20
1560	0.00	0.27
1564	0.05	0.00
1569	0.00	0.14
156ème	0.05	0.00
157	0.21	0.14
1570-1670	0.00	0.07
1570	0.00	0.07
1571	0.05	0.00
1572	0.05	0.07
1574	0.05	0.00
1575	0.05	0.00
158	0.00	0.14
1580	0.11	0.00
1582	0.00	0.41
1587	0.00	0.07
1588	0.00	0.27
1589	0.00	0.07
159	0.05	0.20
1591	0.00	0.07
1598-1621	0.00	0.07
1599	0.00	0.07
159o	0.05	0.00
15a	0.05	0.00
15e	0.96	0.34
15eme	0.53	0.00
15ème	1.76	0.00
15h	1.60	0.00
15h20	0.05	0.00
15h51	0.05	0.00
15m	0.16	0.00
15o	0.05	0.00
16-15	0.05	0.00
16-17	0.00	0.07
16-18	0.05	0.00
16-24	0.00	0.07
16-a	0.05	0.00
16-m	0.05	0.00
16 000 000	0.32	0.00
16 000	1.12	0.00
16 1	0.11	0.00
16 303	0.05	0.00
16	30.37	15.54
16,00	0.00	0.07
16,2	0.05	0.00
16,50	0.05	0.00
16,8	0.05	0.00
16.000	0.05	0.00
16/16	0.11	0.00
16:00	0.05	0.00
160	3.30	0.47
160.160	0.05	0.00
1600	0.69	0.41
1600$.2000$	0.05	0.00
16000	0.16	0.07
160000	0.00	0.14
1600m	0.05	0.00
1601	0.00	0.14
1605	0.05	0.00
1606	0.05	0.00
1608	0.00	0.20
160ème	0.05	0.00
161	0.16	0.14
1610	0.32	0.34
1611	0.00	0.14
1612	0.05	0.07
1613	0.00	0.07
1614	0.00	0.07
1616	0.00	0.27
1619	0.11	0.00
162	0.11	0.20
162000	0.00	0.07
1621-1665	0.00	0.07
1621	0.05	0.00
1622	0.05	0.00
1623	0.00	0.07
163	0.05	0.27
1630	0.11	0.07
1631	0.00	0.27
1632	0.00	0.07
1634	0.05	0.00
1638	0.05	0.00
164	0.05	0.27
1640	0.11	0.00
16422	0.16	0.00
1643-1687	0.00	0.07
1643	0.05	0.07
1644	0.00	0.07
1647	0.00	0.07
1648	0.11	0.00
1649	0.05	0.07
165	0.27	0.34
1650	0.00	0.14
1652	0.05	0.00
1654	0.00	0.14
1656	0.00	0.07
166	0.05	0.20
1660	0.00	0.20
1661	0.05	0.00
1662	0.00	0.07
1665-1700	0.00	0.07
1665	0.05	0.07
1666	0.05	0.00
1667	0.05	0.07
1669	0.00	0.14
167	0.27	0.20
1670	0.00	0.07
1671	0.00	0.14
1672	0.00	0.07
1673	0.05	0.07
1674-1682	0.00	0.07
1675	0.00	0.07
168	0.27	0.47
1680	0.05	0.14
1681	0.00	0.07
1682	0.00	0.07
1683	0.00	0.07
1684	0.00	0.07
1685	0.00	0.20
1686	0.05	0.00
1687	0.00	0.14
1689-1770	0.00	0.07
1689	0.00	0.07
169 000	0.05	0.00
169	0.00	0.07
1690	0.05	0.00
1691	0.00	0.07
1692	0.00	0.47
1693	0.00	0.07
1694	0.00	0.14
1695	0.00	0.07
1696	0.00	0.20
1697	0.00	0.07
1698-1779	0.00	0.07
1699	0.00	0.14
16e	1.01	0.27
16eme	0.05	0.00
16ème	0.69	0.00
16h	2.02	0.00
17-	0.05	0.00
17-0-1	0.05	0.00
17-16	0.05	0.00
17-18	0.00	0.07
17-19	0.00	0.07
17-21	0.00	0.07
17-29	0.00	0.07
17-5	0.11	0.00
17 0	0.05	0.00
17 000	0.11	0.00
17 1	0.05	0.00
17 2	0.00	0.07
17 660	0.05	0.00
17	28.67	15.34
17,000	0.05	0.00
17,5	0.11	0.07
17,50	0.05	0.00
17.00	0.05	0.00
17.000	0.05	0.00
17.53	0.05	0.00
17.6	0.05	0.00
17°	0.16	0.00
170 000	0.11	0.00
170	0.85	0.47
1700	0.27	0.20
170000	0.11	0.00
1700h	0.11	0.00
1701	0.00	0.14
1702	0.00	0.07
1703-1770	0.00	0.07
1705	0.00	0.07
1707	0.05	0.14
1708	0.05	0.07
1709	0.05	0.07
171	0.00	0.20
1710	0.00	0.07
1711	0.00	0.07
1715	0.00	0.07
1717-1719	0.00	0.07
1718	0.00	0.14
1719	0.00	0.07
172 000	0.05	0.00
172	0.05	0.34
1720-1796	0.00	0.07
1720	0.00	0.07
1723	0.05	0.00
1725	0.00	0.14
1726	0.00	0.07
1727	0.00	0.20
1728	0.00	0.07
1729	0.00	0.14
173	0.05	0.34
1730	0.05	0.00
1731	0.00	0.14
1732	0.00	0.14
1733	0.00	0.07
1737	0.00	0.07
1738	0.00	0.20
1739	0.00	0.07
173ème	0.05	0.00
174	0.00	0.14
174,50	0.05	0.00
1740	0.21	0.07
1741	0.05	0.00
1742	0.00	0.14
1743	0.00	0.20
1745	0.00	0.07
1746	0.00	0.20
1747	0.00	0.07
1748	0.05	0.07
1749	0.00	0.14
175 0	0.05	0.00
175 000	0.11	0.00
175	0.16	0.54
1750	0.05	0.41
17500	0.05	0.00
1751	0.00	0.14
1752	0.00	0.34
1753	0.00	0.14
1754	0.05	0.20
1755	0.00	0.14
1756	0.00	0.14
1757	0.00	0.47
1758	0.05	0.00
1759	0.00	0.27
176	0.11	0.41
1760	0.00	0.27
1761	0.00	0.20
1763	0.05	0.00
1765	0.21	0.07
1766	0.05	0.00
1767	0.00	0.07
1768	0.00	0.07
1769	0.00	0.07
177	0.16	0.07
177/86	0.05	0.00
1770-1827	0.00	0.07
1770	0.00	0.14
1771	0.00	0.07
1772	0.00	0.14
1773	0.05	0.14
1774-1796	0.00	0.07
1774	0.00	0.14
1775 1794	0.05	0.00
1775	0.05	0.20
1776	0.16	0.00
1777	0.05	0.07
1778	0.00	0.07
1779	0.11	0.07
178	0.21	0.20
1780	0.05	0.34
1781-1851	0.00	0.07
1781	0.00	0.27
1782	0.00	0.20
1783	0.00	0.20
1784	0.00	0.07
1785	0.11	0.27
1786	0.00	0.07
1787	0.16	0.20
1788	0.11	0.34
1789	0.11	2.30
179	0.16	0.07
1790	0.32	0.20
1791-1792	0.00	0.07
1791	0.11	0.34
1792	0.05	1.08
1793-1795	0.00	0.07
1793	0.00	0.88
1794	0.00	0.20
1795	0.11	0.41
1796	0.00	0.14
1797	0.05	0.27
1798	0.05	0.54
1799	0.00	0.20
17c	0.05	0.00
17e	0.64	0.88
17eme	0.05	0.07
17ème	0.80	0.00
17h	1.60	0.00
18'	0.05	0.00
18-0	0.11	0.00
18-10	0.05	0.00
18-11	0.05	0.00
18-19	0.00	0.07
18-22	0.05	0.00
18-23	0.00	0.07
18-25	0.05	0.00
18-33	0.00	0.14
18-34	0.05	0.00
18-35	0.05	0.00
18-7	0.05	0.00
18-91	0.16	0.00
18 000	0.27	0.00
18 1	0.11	0.00
18	35.27	17.70
18,1	0.05	0.00
18,10	0.05	0.00
18,2	0.11	0.00
18,50	0.00	0.07
18,95	0.05	0.00
18.000	0.11	0.00
18.4	0.05	0.00
18.5	0.05	0.00
18.8	0.05	0.00
18°	0.05	0.00
180 00	0.05	0.00
180 000	0.37	0.00
180	2.82	1.22
180,000	0.16	0.00
180. m	0.05	0.00
180.000	0.05	0.00
180/85	0.05	0.00
180°	0.43	0.00
1800	0.69	0.74
18000	0.05	0.34
180000	0.05	0.07
1801	0.05	0.00
1802	0.05	0.34
1803	0.00	0.14
1804	0.05	0.27
1805	0.00	0.41
1806	0.05	0.47
1807	0.00	0.68
1808	0.00	0.54
1809	0.05	0.68
181	0.11	0.14
1810-1849	0.00	0.07
1810	0.00	0.20
1811	0.00	0.20
1812	0.16	0.54
1813-1887	0.00	0.07
1813	0.00	0.20
1814-1867	0.00	0.07
1814	0.16	0.27
1815-1820	0.00	0.07
1815	0.05	0.47
1816	0.00	0.20
18166	0.11	0.00
1817	0.00	0.27
1818	0.05	0.14
1819	0.00	0.14
182	0.27	0.00
1820	0.00	0.34
1822	0.00	0.27
1823	0.00	0.20
1824	0.00	0.20
1825	0.11	0.07
1826-1910	0.00	0.07
1826	0.05	0.00
1827	0.00	0.41
1828	0.05	0.07
1829	0.00	0.27
183	0.27	0.07
183,300	0.05	0.00
1830	0.16	0.68
1831	0.05	0.34
1833	0.00	0.54
1834	0.05	0.34
1835	0.05	0.14
1836	0.11	0.00
1837	0.00	0.27
1838	0.05	0.00
1839	0.16	0.00
184-1287	0.05	0.00
184	0.21	0.07
1840	0.11	0.61
1841-1919	0.00	0.07
1841	0.00	0.20
1842-1861	0.00	0.07
1842	0.00	2.57
1843-1919	0.00	0.07
1843	0.00	0.20
1844	0.05	0.00
1845	0.00	0.14
1846	0.05	0.07
1847	0.11	0.14
1848	0.00	1.28
1849	0.27	0.20
185 000	0.00	0.14
185	0.43	0.20
185°	0.05	0.00
1850-1860	0.00	0.07
1850	0.11	0.07
1850000	0.05	0.00
1851-1929	0.00	0.07
1851	0.11	0.07
1852	0.00	0.27
1853	0.05	0.00
1854	0.00	0.14
1855	0.00	0.07
1856	0.05	0.20
1857	0.00	0.20
1858	0.00	0.14
1859	0.11	0.27
186	0.11	0.27
1860-1925	0.00	0.07
1860	0.27	0.68
1861	0.11	0.27
1862	0.21	0.34
1863	0.16	0.14
1864-1944	0.00	0.07
1864	0.11	0.27
1865	0.37	0.00
1865à	0.05	0.00
1866 1944	0.05	0.00
1866	0.11	0.27
1867	0.16	0.47
1868	0.16	0.00
1869-1903	0.05	0.00
1869	0.16	0.14
187	0.80	0.34
1870-1871	0.00	0.07
1870	0.27	3.24
1870,9	0.00	0.07
1871	0.21	1.01
1872	0.21	0.54
1873	0.16	0.07
1874	0.05	0.14
1875	0.11	1.69
1876	0.11	0.07
1877	0.00	0.14
1878-1903	0.00	0.07
1878	0.16	0.34
1879	0.43	0.07
187e	0.05	0.00
188	0.16	0.07
1880	0.48	1.28
1881	0.11	0.27
1882	0.21	0.47
1883	0.05	0.34
1884	0.05	1.01
1885	1.17	0.41
1886	0.48	0.20
1887-1976	0.00	0.07
1887	0.21	0.20
1888	0.43	0.47
1889	0.05	0.27
189	0.00	0.14
1890	0.32	0.88
18909	0.00	0.07
1891	0.05	0.14
1892-1953	0.00	0.07
1892	0.00	0.54
1893	0.48	0.27
1894	0.16	0.20
1895	0.59	0.27
1896	0.11	0.61
1897	0.16	0.34
1898	0.43	0.34
1899	0.43	0.34
18é	0.16	0.00
18e	0.96	0.27
18eme	0.16	0.00
18ème	0.96	0.00
18h	1.97	0.00
18h45	0.05	0.00
19-	0.05	0.00
19-11	0.05	0.00
19-17	0.16	0.00
19-h	0.27	0.00
19 000	0.16	0.00
19 02	0.05	0.00
19 1	0.16	0.00
19 139	0.00	0.07
19 18 49	0.00	0.07
19 500	0.11	0.00
19	19.84	13.11
19,95	0.11	0.00
19.000	0.11	0.00
19.500	0.05	0.00
19.95	0.11	0.00
190	0.21	0.27
190°	0.05	0.00
1900-2000	0.00	0.07
1900-4	0.05	0.00
1900	0.96	4.93
1901	0.05	0.41
1902	0.05	0.34
1903	0.05	0.47
1904	0.27	0.47
19040616	0.05	0.00
1905	0.27	0.88
1906	0.21	0.47
1907	0.21	0.34
1908	0.05	0.61
1909	0.16	0.34
191 1	0.11	0.00
191	0.00	0.14
1910-1914-1940	0.00	0.07
1910-1985	0.05	0.00
1910	0.16	2.57
1911	0.32	0.27
1912	0.37	1.49
1913-1914	0.00	0.07
1913	0.11	1.35
1914-1916	0.00	0.07
1914-1918	0.00	0.41
1914-1922	0.00	0.07
1914	0.32	8.24
1915-1925	0.00	0.07
1915	0.48	0.95
1915,4	0.00	0.07
1916-1917	0.00	0.07
1916	0.48	1.28
1917	0.48	3.85
1918	0.64	4.19
1919-1920	0.00	0.14
1919	0.59	2.64
192	0.11	0.68
192,70	0.05	0.00
1920	0.53	2.64
1921	0.27	0.54
1922	0.37	1.15
19225004	0.05	0.00
1923-1928	0.00	0.07
1923	0.32	1.49
1924	0.27	1.22
1925	0.37	3.04
1926 767 500 392 100 375 400	0.00	0.07
1926	0.27	1.28
1927 743 800 379 700 364 100	0.00	0.07
1927	0.37	0.74
1928 749 300 383 600 365 700	0.00	0.07
1928	1.01	1.28
1929-1930	0.00	0.07
1929 730 100 373 000 357 100	0.00	0.07
1929	0.69	2.23
193	0.11	0.07
1930	0.53	3.11
1931	0.43	2.03
1932	0.43	1.82
1933	0.64	1.96
1934	0.48	2.23
1935	0.48	3.11
1936-1937	0.00	0.14
1936-1939	0.00	0.07
1936	0.48	4.12
1937	0.43	2.30
1938-1939	0.00	0.14
1938	0.80	7.36
1938.99,06	0.00	0.07
1939-1945	0.00	0.07
1939-1958	0.00	0.07
1939	1.22	8.51
193ème	0.05	0.00
194	0.16	0.34
1940-1941-1942	0.00	0.07
1940-1941	0.00	0.14
1940-1944	0.00	0.07
1940	1.17	21.82
1941-1942	0.00	0.07
1941	1.38	18.65
1942-43	0.00	0.14
1942	1.28	13.38
1943-1944	0.00	0.14
1943-1945	0.00	0.07
1943	0.64	13.38
1944-1945	0.00	0.20
1944-1946	0.00	0.07
1944	1.33	15.61
1945	2.18	11.35
1946	0.85	2.43
1947-1950	0.00	0.07
1947	0.69	1.96
1948-1949	0.00	0.07
1948	0.53	1.35
1949-1950	0.00	0.07
1949-1951	0.00	0.07
1949	0.69	1.62
195 1	0.05	0.00
195	0.05	0.07
1950-1951	0.00	0.07
1950-1955	0.00	0.07
1950-2000	0.37	0.00
1950	0.90	2.30
1950,3	0.00	0.07
1951	0.48	1.01
1951à	0.05	0.00
1952-1953	0.00	0.07
1952	0.90	1.69
1953	1.17	1.76
1954-1955	0.00	0.07
1954	1.01	0.41
1955	2.07	2.03
1956	0.96	1.49
1957	0.53	1.28
1958-1963	0.00	0.07
1958	1.06	0.88
1959-1960	0.00	0.07
1959	1.06	0.88
196	0.11	0.27
1960 1985	0.05	0.00
1960	1.06	1.76
1961 10 000	0.00	0.14
1961 12 000	0.00	0.07
1961	1.12	1.55
1962-1963	0.00	0.07
1962-1970	0.00	0.07
1962	1.38	1.22
1963-1964	0.00	0.07
1963 100	0.00	0.07
1963 300	0.00	0.07
1963 307,40	0.00	0.07
1963 6 000	0.00	0.14
1963 8 000	0.00	0.07
1963	2.07	1.69
1964-12	0.00	0.07
1964	0.96	1.08
1965	1.28	0.95
1966	1.33	0.74
1967-9	0.05	0.00
1967	0.69	0.81
1968-1972	0.05	0.00
1968	1.01	1.49
1969-1970	0.00	0.07
1969-1978	0.00	0.07
1969	1.33	1.08
197-734	0.05	0.00
197 4	0.16	0.00
197 5	0.05	0.00
197	0.27	0.20
1970	1.44	1.01
1971	0.90	0.88
1972-1974	0.00	0.07
1972	1.17	0.74
1973	1.12	0.88
1973?	0.05	0.00
1974	1.01	1.01
1975	1.54	0.95
1976	1.22	0.34
1977	1.01	0.68
1978	1.38	0.34
1979	1.86	0.41
197o	0.05	0.00
198	0.05	0.34
1980	1.86	0.61
1981	1.22	0.81
1982	1.17	0.34
1983	1.17	0.41
1984	0.90	0.61
1985	2.66	0.41
1985à	0.05	0.00
1986	0.80	0.20
1987	0.80	0.07
1988	1.38	0.47
1989	0.32	0.41
19897	0.05	0.00
198x	0.05	0.00
199	0.11	0.00
199.181.134	0.05	0.00
1990	1.54	0.00
1991	0.90	0.07
1992-93	0.05	0.00
1992	1.01	0.00
1993	1.01	0.07
1993à	0.05	0.00
1994	0.85	0.14
1994/95	0.05	0.00
1995	1.17	0.07
1995à	0.05	0.00
1996	1.97	0.00
1996à	0.05	0.00
1997	1.49	0.07
1997à	0.05	0.00
1998'	0.05	0.00
1998	1.86	0.00
1999	1.70	0.14
1999à	0.05	0.00
19à	0.05	0.00
19e	0.69	0.34
19ème	1.01	0.00
19h	1.06	0.00
19h10	0.05	0.00
19h30	0.11	0.00
19l12	0.05	0.00
1a	0.05	0.00
1à	0.16	0.74
1cc	0.00	0.07
1e	0.00	0.14
1er	27.13	9.39
1êre	0.11	0.00
1ére	0.21	0.00
1ere	0.74	0.07
1ère	22.02	0.00
1ere1	0.05	0.00
1eres	0.11	0.00
1ères	0.21	0.00
1ers	1.28	0.00
1f926d	0.05	0.00
1g	0.05	0.00
1h00	0.05	0.00
1il	0.05	0.00
1ks	0.00	0.27
1l43	0.11	0.00
1mn	0.27	0.00
1mn15	0.05	0.00
1ô	0.05	0.00
1o	0.11	0.27
1oo	0.11	0.00
1re	3.99	1.08
1res	0.11	0.00
1t53	0.05	0.00
1w20	0.05	0.00
1x5	0.11	0.00
2'	0.21	0.00
2- k	0.05	0.00
2-	0.16	0.00
2-0-0	0.11	0.00
2-0-1	0.05	0.00
2-0-3	0.05	0.00
2-0-5	0.16	0.00
2-0-7	0.05	0.00
2-0	0.53	0.00
2-1-0-0	0.11	0.00
2-1-0	0.05	0.00
2-1-1-1	0.05	0.00
2-1-5	0.05	0.00
2-1	0.21	0.00
2-10	0.11	0.00
2-11	0.11	0.00
2-18	0.21	0.00
2-2	0.21	0.00
2-2..	0.11	0.00
2-20	0.00	0.14
2-3-0	0.16	0.00
2-3-1	0.37	0.00
2-3-5..	0.05	0.00
2-3	0.59	0.07
2-4-0	0.16	0.00
2-4-7-8-5-0	0.16	0.00
2-4	0.11	0.00
2-5-0	0.37	0.00
2-5-5	0.11	0.00
2-5	0.21	0.00
2-6-0	0.21	0.00
2-6-5	0.16	0.00
2-6-9	0.11	0.00
2-6	0.11	0.00
2-7-0	0.32	0.00
2-7-8-0-5	0.16	0.00
2-7	0.16	0.07
2-8-5-9-0-6	0.21	0.00
2-8-5	0.11	0.00
2-8-7	0.11	0.00
2-8-9-5-0-6	0.05	0.00
2-8	0.05	0.00
2-81	0.11	0.00
2-9-5	0.05	0.00
2-9	0.16	0.00
2-90	0.05	0.00
2-b	0.11	0.00
2-d-2	0.00	0.07
2-d	0.05	0.00
2-e	0.05	0.00
2-q	0.05	0.00
2-t-s	0.05	0.00
2 0	0.05	0.00
2 00	0.16	0.00
2 000 000	0.16	0.00
2 000 602	0.05	0.00
2 000	6.17	1.15
2 1 0	0.05	0.00
2 1 00	0.05	0.00
2 1 18	0.05	0.00
2 1	0.85	0.00
2 100	0.27	0.00
2 15	0.05	0.00
2 1ème	0.05	0.00
2 200	0.05	0.00
2 221	0.05	0.00
2 225	0.00	0.07
2 235	0.00	0.07
2 238,6	0.00	0.07
2 258	0.05	0.00
2 275	0.00	0.07
2 284 000	0.05	0.00
2 300 000	0.05	0.00
2 300	0.05	0.00
2 320	0.00	0.07
2 340	0.05	0.00
2 355,2	0.00	0.07
2 356	0.00	0.07
2 4	0.43	0.00
2 40	0.11	0.00
2 400	0.32	0.14
2 4ème	0.05	0.00
2 500 000	0.16	0.00
2 500	0.80	0.07
2 503e	0.00	0.07
2 508	0.05	0.00
2 6 6 4 7 2 9 2 6 6 4 7..	0.05	0.00
2 600	0.05	0.00
2 623	0.05	0.00
2 638	0.05	0.00
2 670	0.00	0.07
2 673	0.05	0.00
2 676,5	0.00	0.07
2 7	0.11	0.00
2 700 000 000	0.05	0.00
2 700	0.11	0.14
2 715	0.00	0.07
2 724	0.00	0.07
2 750	0.11	0.00
2 750,7	0.00	0.07
2 800	0.16	0.00
2 809,6	0.00	0.07
2 838	0.00	0.07
2 879,7	0.00	0.07
2 900 000	0.00	0.07
2 900	0.11	0.00
2 988	0.05	0.00
²	0.05	0.00
2	225.00	42.64
2$	0.05	0.00
2%	0.05	0.00
2*0	0.11	0.00
2*07	0.05	0.00
2*2*3	0.11	0.00
2*67	0.16	0.00
2*ème	0.11	0.00
2,000	0.32	0.00
2,000,000	0.05	0.00
2,1	0.16	0.00
2,15	0.00	0.07
2,2	0.21	0.00
2,20	0.05	0.00
2,25	0.05	0.00
2,28	0.05	0.00
2,3	0.11	0.00
2,36	0.05	0.00
2,4	0.16	0.00
2,40	0.00	0.07
2,45	0.21	0.00
2,492	0.05	0.00
2,5	2.13	0.20
2,50	0.64	0.14
2,57	0.05	0.00
2,5m	0.05	0.00
2,6	0.11	0.00
2,60	0.05	0.07
2,600	0.00	0.07
2,618	0.00	0.14
2,65	0.05	0.00
2,7	0.16	0.00
2,70	0.00	0.07
2,75	0.16	0.00
2,8	0.16	0.00
2,80	0.05	0.00
2,800,000	0.11	0.00
2,9	0.11	0.00
2,90	0.00	0.07
2,95	0.32	0.14
2,98	0.05	0.00
2.'	0.05	0.00
2..	0.16	0.00
2...3."	0.05	0.00
2..950	0.00	0.07
2.0.0	0.05	0.00
2.0.s	0.00	0.07
2.000	0.96	0.00
2.126.410	0.05	0.00
2.135	0.05	0.00
2.154	0.00	0.27
2.2	0.05	0.00
2.2.0	0.05	0.00
2.20	0.00	0.07
2.200.000	0.11	0.00
2.21.w	0.00	0.14
2.23	0.05	0.00
2.47.w	0.00	0.07
2.5	0.27	0.00
2.50	0.05	0.00
2.500	0.05	0.00
2.6	0.05	0.00
2.65	0.11	0.00
2.700'	0.05	0.00
2.8	0.05	0.00
2.800	0.11	0.00
2.9	0.05	0.00
2.99	0.11	0.00
2/1000e	0.05	0.00
2/2	0.05	0.00
2/2à	0.05	0.00
2/3	0.80	0.00
2:45	0.05	0.00
²¨	0.05	0.00
20'	0.16	0.00
20-	0.05	0.00
20-10	0.21	0.00
20-21	0.00	0.07
20-22	0.00	0.07
20-25	0.05	0.07
20-30	0.00	0.07
20-40	0.16	0.00
20-7-8	0.05	0.00
20 000	4.79	0.47
20	115.96	17.91
20$	0.05	0.00
20%	0.05	0.00
20%ont	0.05	0.00
20%s	0.11	0.00
20%sont	0.05	0.00
20,000	0.16	0.00
20,1	0.05	0.00
20,5	0.05	0.00
20,50	0.21	0.00
20. m	0.00	0.07
20..	0.05	0.00
20.000	0.96	0.00
20.160	0.05	0.00
20/	0.05	0.00
20/10	0.11	0.00
20/20	0.32	0.00
20/5	0.05	0.00
20:00	0.05	0.00
20°	0.21	0.00
200 000	3.40	0.27
200 000e	0.00	0.07
200 001	0.11	0.00
200	27.66	3.18
200$	0.05	0.00
200$..	0.05	0.00
200%	0.05	0.00
200,000	0.21	0.00
200.000	0.69	0.00
2000 000	0.05	0.00
2000	11.60	1.89
20000	2.02	0.54
200000	0.21	0.41
2000m	0.05	0.00
2001	2.55	0.07
2002'	0.21	0.00
2002	0.85	0.14
2003	0.59	0.00
2004	0.21	0.00
2005	0.16	0.00
2006	0.16	0.00
2007	0.16	0.00
2008	0.16	0.00
2009	0.21	0.00
200a	0.05	0.00
200m	0.05	0.00
201 1	0.05	0.00
201 2	0.05	0.00
201 3	0.05	0.00
201 5	0.05	0.00
201 8	0.05	0.00
201	0.48	0.41
2010	0.21	0.00
2012	0.00	0.07
2014	0.00	0.07
2015	0.21	0.14
2016	0.21	0.00
2017	0.16	0.07
2019	0.16	0.00
202-227-0098	0.11	0.00
202	0.32	0.07
2020	0.11	0.14
2021	0.05	0.00
2022	0.05	0.00
2024	0.11	0.00
2025	0.37	0.00
2026	0.05	0.00
2027	0.05	0.00
2028	0.05	0.00
2029	0.11	0.00
203	0.27	0.47
2030	0.11	0.00
2032	0.32	0.00
2038	0.16	0.00
204	0.11	0.20
2043	0.11	0.00
2046	0.21	0.00
2047	0.05	0.00
205	0.53	0.27
2050	0.11	0.07
2054	0.11	0.00
2058	0.05	0.00
206	0.37	0.00
2061	0.00	0.07
2062,8	0.00	0.07
2063	0.05	0.00
2069107	0.05	0.00
207	0.05	0.14
2071	0.00	0.07
2073	0.05	0.00
2075	0.05	0.00
2077	0.05	0.00
208	0.37	0.54
2080	0.05	0.00
209-211	0.05	0.00
209	1.97	0.14
20é	0.05	0.00
20e	1.54	0.20
20eme	0.05	0.00
20ème	2.34	0.00
20h	1.97	0.00
20h30	0.05	0.00
20m	0.05	0.00
21'	0.00	0.07
21-0	0.05	0.00
21-22	0.00	0.07
21-23	0.00	0.07
21-45	0.00	0.07
21-8-7	0.11	0.00
21-k	0.05	0.00
21 1	0.05	0.00
21 2	0.16	0.00
21 24	0.05	0.00
21 3	0.05	0.00
